Terminos_GO	Frecuencia
GO:0005737	30
GO:0005829	27
GO:0005634	26
GO:0016021	18
GO:0005739	17
GO:0005524	15
GO:0046872	14
GO:0005509	12
GO:0005886	12
GO:0005789	9
GO:0005654	8
GO:0051301	8
GO:0005506	7
GO:0005783	7
GO:0007049	7
GO:0000122	6
GO:0005576	6
GO:0005887	6
GO:0006656	6
GO:0050660	6
GO:0003700	5
GO:0007275	5
GO:0032991	5
GO:0043231	5
GO:0000234	4
GO:0000287	4
GO:0004842	4
GO:0005615	4
GO:0005764	4
GO:0005794	4
GO:0006541	4
GO:0008270	4
GO:0008289	4
GO:0042493	4
GO:0042752	4
GO:0045892	4
GO:0000981	3
GO:0003677	3
GO:0003723	3
GO:0004356	3
GO:0004674	3
GO:0005730	3
GO:0005765	3
GO:0006355	3
GO:0006542	3
GO:0008134	3
GO:0008233	3
GO:0008283	3
GO:0009267	3
GO:0010181	3
GO:0016040	3
GO:0016324	3
GO:0016491	3
GO:0016540	3
GO:0016567	3
GO:0030148	3
GO:0031526	3
GO:0042593	3
GO:0042802	3
GO:0042803	3
GO:0043066	3
GO:0043312	3
GO:0044877	3
GO:0045944	3
GO:0051538	3
GO:0070062	3
GO:0071949	3
GO:0097054	3
GO:0000050	2
GO:0000055	2
GO:0000056	2
GO:0000209	2
GO:0000978	2
GO:0001228	2
GO:0001525	2
GO:0001666	2
GO:0003323	2
GO:0003735	2
GO:0003878	2
GO:0004087	2
GO:0004088	2
GO:0004609	2
GO:0005049	2
GO:0005525	2
GO:0005635	2
GO:0005759	2
GO:0005791	2
GO:0006071	2
GO:0006085	2
GO:0006101	2
GO:0006207	2
GO:0006281	2
GO:0006357	2
GO:0006508	2
GO:0006537	2
GO:0006564	2
GO:0006579	2
GO:0006611	2
GO:0006631	2
GO:0006633	2
GO:0006636	2
GO:0006637	2
GO:0006646	2
GO:0006869	2
GO:0006913	2
GO:0006974	2
GO:0007283	2
GO:0007623	2
GO:0008017	2
GO:0008168	2
GO:0008285	2
GO:0008536	2
GO:0008610	2
GO:0009086	2
GO:0009501	2
GO:0009555	2
GO:0009617	2
GO:0009636	2
GO:0009725	2
GO:0009826	2
GO:0009860	2
GO:0009881	2
GO:0010183	2
GO:0010594	2
GO:0015031	2
GO:0016290	2
GO:0016363	2
GO:0016595	2
GO:0016604	2
GO:0016747	2
GO:0018298	2
GO:0018345	2
GO:0019432	2
GO:0019676	2
GO:0019706	2
GO:0019901	2
GO:0019904	2
GO:0020037	2
GO:0031090	2
GO:0031305	2
GO:0031397	2
GO:0031402	2
GO:0031514	2
GO:0031667	2
GO:0031965	2
GO:0031982	2
GO:0032496	2
GO:0032922	2
GO:0033762	2
GO:0034599	2
GO:0042425	2
GO:0042754	2
GO:0042760	2
GO:0043153	2
GO:0044212	2
GO:0045087	2
GO:0045121	2
GO:0045471	2
GO:0045893	2
GO:0045910	2
GO:0046825	2
GO:0047150	2
GO:0047617	2
GO:0048037	2
GO:0048528	2
GO:0050796	2
GO:0051262	2
GO:0051968	2
GO:0052689	2
GO:0055088	2
GO:0070365	2
GO:0070409	2
GO:0070849	2
GO:0071320	2
GO:0102991	2
GO:1901653	2
GO:1903670	2
GO:1903718	2
GO:2000323	2
GO:0000054	1
GO:0000083	1
GO:0000086	1
GO:0000139	1
GO:0000151	1
GO:0000164	1
GO:0000166	1
GO:0000278	1
GO:0000470	1
GO:0000702	1
GO:0000773	1
GO:0000776	1
GO:0000786	1
GO:0000790	1
GO:0000976	1
GO:0000977	1
GO:0001030	1
GO:0001031	1
GO:0001032	1
GO:0001046	1
GO:0001156	1
GO:0001501	1
GO:0001541	1
GO:0001558	1
GO:0001669	1
GO:0001701	1
GO:0001746	1
GO:0001889	1
GO:0001932	1
GO:0001938	1
GO:0001959	1
GO:0002181	1
GO:0002244	1
GO:0002385	1
GO:0002526	1
GO:0002540	1
GO:0002755	1
GO:0003684	1
GO:0003690	1
GO:0003707	1
GO:0003712	1
GO:0003777	1
GO:0003779	1
GO:0003824	1
GO:0003846	1
GO:0003924	1
GO:0003997	1
GO:0004028	1
GO:0004029	1
GO:0004030	1
GO:0004045	1
GO:0004051	1
GO:0004070	1
GO:0004105	1
GO:0004144	1
GO:0004151	1
GO:0004175	1
GO:0004197	1
GO:0004198	1
GO:0004348	1
GO:0004354	1
GO:0004355	1
GO:0004386	1
GO:0004458	1
GO:0004465	1
GO:0004467	1
GO:0004491	1
GO:0004499	1
GO:0004505	1
GO:0004510	1
GO:0004512	1
GO:0004520	1
GO:0004557	1
GO:0004558	1
GO:0004608	1
GO:0004647	1
GO:0004648	1
GO:0004653	1
GO:0004745	1
GO:0004753	1
GO:0004768	1
GO:0005112	1
GO:0005201	1
GO:0005215	1
GO:0005242	1
GO:0005249	1
GO:0005261	1
GO:0005262	1
GO:0005267	1
GO:0005319	1
GO:0005366	1
GO:0005384	1
GO:0005385	1
GO:0005432	1
GO:0005436	1
GO:0005504	1
GO:0005516	1
GO:0005542	1
GO:0005543	1
GO:0005604	1
GO:0005641	1
GO:0005642	1
GO:0005643	1
GO:0005719	1
GO:0005741	1
GO:0005743	1
GO:0005762	1
GO:0005768	1
GO:0005777	1
GO:0005778	1
GO:0005802	1
GO:0005811	1
GO:0005813	1
GO:0005814	1
GO:0005903	1
GO:0005913	1
GO:0005925	1
GO:0005930	1
GO:0005938	1
GO:0005951	1
GO:0005956	1
GO:0005977	1
GO:0005981	1
GO:0006021	1
GO:0006066	1
GO:0006068	1
GO:0006094	1
GO:0006107	1
GO:0006111	1
GO:0006210	1
GO:0006284	1
GO:0006285	1
GO:0006334	1
GO:0006366	1
GO:0006412	1
GO:0006468	1
GO:0006511	1
GO:0006526	1
GO:0006534	1
GO:0006536	1
GO:0006544	1
GO:0006548	1
GO:0006559	1
GO:0006563	1
GO:0006571	1
GO:0006573	1
GO:0006574	1
GO:0006629	1
GO:0006680	1
GO:0006691	1
GO:0006699	1
GO:0006707	1
GO:0006726	1
GO:0006730	1
GO:0006749	1
GO:0006805	1
GO:0006811	1
GO:0006813	1
GO:0006817	1
GO:0006826	1
GO:0006829	1
GO:0006851	1
GO:0006882	1
GO:0006895	1
GO:0006915	1
GO:0006954	1
GO:0006975	1
GO:0006979	1
GO:0007005	1
GO:0007018	1
GO:0007155	1
GO:0007156	1
GO:0007157	1
GO:0007158	1
GO:0007179	1
GO:0007220	1
GO:0007224	1
GO:0007267	1
GO:0007280	1
GO:0007286	1
GO:0007346	1
GO:0007367	1
GO:0007368	1
GO:0007399	1
GO:0007411	1
GO:0007418	1
GO:0007427	1
GO:0007442	1
GO:0007458	1
GO:0007476	1
GO:0007494	1
GO:0007506	1
GO:0007568	1
GO:0007586	1
GO:0007616	1
GO:0008020	1
GO:0008234	1
GO:0008271	1
GO:0008272	1
GO:0008306	1
GO:0008307	1
GO:0008347	1
GO:0008361	1
GO:0008395	1
GO:0008456	1
GO:0008509	1
GO:0008534	1
GO:0008565	1
GO:0008593	1
GO:0008643	1
GO:0008654	1
GO:0008705	1
GO:0008757	1
GO:0008801	1
GO:0009001	1
GO:0009055	1
GO:0009060	1
GO:0009061	1
GO:0009311	1
GO:0009314	1
GO:0009346	1
GO:0009411	1
GO:0009416	1
GO:0009749	1
GO:0009922	1
GO:0009986	1
GO:0010043	1
GO:0010265	1
GO:0010494	1
GO:0010629	1
GO:0010800	1
GO:0010824	1
GO:0010917	1
GO:0010940	1
GO:0010972	1
GO:0014069	1
GO:0014075	1
GO:0014718	1
GO:0014850	1
GO:0015030	1
GO:0015093	1
GO:0015116	1
GO:0015175	1
GO:0015184	1
GO:0015293	1
GO:0015301	1
GO:0015321	1
GO:0015804	1
GO:0015811	1
GO:0016015	1
GO:0016042	1
GO:0016055	1
GO:0016125	1
GO:0016139	1
GO:0016150	1
GO:0016153	1
GO:0016298	1
GO:0016301	1
GO:0016335	1
GO:0016513	1
GO:0016539	1
GO:0016584	1
GO:0016594	1
GO:0016605	1
GO:0016607	1
GO:0016787	1
GO:0016791	1
GO:0016901	1
GO:0017053	1
GO:0017168	1
GO:0017174	1
GO:0018105	1
GO:0018243	1
GO:0018478	1
GO:0019005	1
GO:0019104	1
GO:0019221	1
GO:0019344	1
GO:0019367	1
GO:0019370	1
GO:0019372	1
GO:0019433	1
GO:0019516	1
GO:0019556	1
GO:0019557	1
GO:0019878	1
GO:0019888	1
GO:0019902	1
GO:0019915	1
GO:0019964	1
GO:0021960	1
GO:0022029	1
GO:0022408	1
GO:0022625	1
GO:0022627	1
GO:0022904	1
GO:0030001	1
GO:0030016	1
GO:0030018	1
GO:0030027	1
GO:0030054	1
GO:0030061	1
GO:0030097	1
GO:0030099	1
GO:0030111	1
GO:0030139	1
GO:0030145	1
GO:0030154	1
GO:0030176	1
GO:0030182	1
GO:0030198	1
GO:0030239	1
GO:0030246	1
GO:0030261	1
GO:0030282	1
GO:0030291	1
GO:0030295	1
GO:0030307	1
GO:0030315	1
GO:0030332	1
GO:0030374	1
GO:0030424	1
GO:0030425	1
GO:0030643	1
GO:0030667	1
GO:0030670	1
GO:0030674	1
GO:0030853	1
GO:0030854	1
GO:0031065	1
GO:0031146	1
GO:0031210	1
GO:0031234	1
GO:0031297	1
GO:0031410	1
GO:0031419	1
GO:0031432	1
GO:0031463	1
GO:0031492	1
GO:0031528	1
GO:0031669	1
GO:0031929	1
GO:0031931	1
GO:0031936	1
GO:0031966	1
GO:0032008	1
GO:0032024	1
GO:0032094	1
GO:0032154	1
GO:0032259	1
GO:0032355	1
GO:0032357	1
GO:0032450	1
GO:0032508	1
GO:0032579	1
GO:0032592	1
GO:0032743	1
GO:0032868	1
GO:0032947	1
GO:0033138	1
GO:0033146	1
GO:0033234	1
GO:0033512	1
GO:0033540	1
GO:0033613	1
GO:0033683	1
GO:0033781	1
GO:0034039	1
GO:0034134	1
GO:0034201	1
GO:0034399	1
GO:0034504	1
GO:0034625	1
GO:0034626	1
GO:0034708	1
GO:0034765	1
GO:0034774	1
GO:0035019	1
GO:0035067	1
GO:0035154	1
GO:0035217	1
GO:0035222	1
GO:0035224	1
GO:0035231	1
GO:0035257	1
GO:0035277	1
GO:0035338	1
GO:0035556	1
GO:0035578	1
GO:0035579	1
GO:0035641	1
GO:0035655	1
GO:0035794	1
GO:0036126	1
GO:0036156	1
GO:0036267	1
GO:0036292	1
GO:0036310	1
GO:0038023	1
GO:0038202	1
GO:0042176	1
GO:0042254	1
GO:0042301	1
GO:0042311	1
GO:0042325	1
GO:0042391	1
GO:0042427	1
GO:0042558	1
GO:0042572	1
GO:0042574	1
GO:0042594	1
GO:0042605	1
GO:0042645	1
GO:0042759	1
GO:0042761	1
GO:0042788	1
GO:0042826	1
GO:0042995	1
GO:0043005	1
GO:0043065	1
GO:0043122	1
GO:0043161	1
GO:0043200	1
GO:0043204	1
GO:0043209	1
GO:0043371	1
GO:0043378	1
GO:0043565	1
GO:0043596	1
GO:0043616	1
GO:0043627	1
GO:0043679	1
GO:0043687	1
GO:0044255	1
GO:0044297	1
GO:0044341	1
GO:0044344	1
GO:0045168	1
GO:0045169	1
GO:0045214	1
GO:0045503	1
GO:0045504	1
GO:0045589	1
GO:0045616	1
GO:0045637	1
GO:0045652	1
GO:0045672	1
GO:0045721	1
GO:0045744	1
GO:0045766	1
GO:0045861	1
GO:0045862	1
GO:0045945	1
GO:0046185	1
GO:0046209	1
GO:0046477	1
GO:0046498	1
GO:0046500	1
GO:0046655	1
GO:0046676	1
GO:0046824	1
GO:0046982	1
GO:0046983	1
GO:0047130	1
GO:0047131	1
GO:0048038	1
GO:0048471	1
GO:0048478	1
GO:0048545	1
GO:0048692	1
GO:0048935	1
GO:0050308	1
GO:0050661	1
GO:0050667	1
GO:0050679	1
GO:0050707	1
GO:0050729	1
GO:0050790	1
GO:0050805	1
GO:0050808	1
GO:0050839	1
GO:0050855	1
GO:0050885	1
GO:0050896	1
GO:0051028	1
GO:0051082	1
GO:0051085	1
GO:0051087	1
GO:0051091	1
GO:0051092	1
GO:0051225	1
GO:0051260	1
GO:0051281	1
GO:0051289	1
GO:0051291	1
GO:0051384	1
GO:0051560	1
GO:0051591	1
GO:0051592	1
GO:0051593	1
GO:0051603	1
GO:0051971	1
GO:0051990	1
GO:0052631	1
GO:0052667	1
GO:0055081	1
GO:0055085	1
GO:0055103	1
GO:0055114	1
GO:0055123	1
GO:0060271	1
GO:0060291	1
GO:0060416	1
GO:0060914	1
GO:0061061	1
GO:0061314	1
GO:0061630	1
GO:0062023	1
GO:0065003	1
GO:0070126	1
GO:0070268	1
GO:0070417	1
GO:0070530	1
GO:0070888	1
GO:0071230	1
GO:0071233	1
GO:0071276	1
GO:0071277	1
GO:0071377	1
GO:0071400	1
GO:0071425	1
GO:0071472	1
GO:0071548	1
GO:0071577	1
GO:0071578	1
GO:0071702	1
GO:0071726	1
GO:0071727	1
GO:0071805	1
GO:0071889	1
GO:0071902	1
GO:0072341	1
GO:0072534	1
GO:0072657	1
GO:0080101	1
GO:0086038	1
GO:0097224	1
GO:0097264	1
GO:0097386	1
GO:0098603	1
GO:0098685	1
GO:0098978	1
GO:0099093	1
GO:0102336	1
GO:0102337	1
GO:0102338	1
GO:0102391	1
GO:0102756	1
GO:0140078	1
GO:1900087	1
GO:1901052	1
GO:1901291	1
GO:1901623	1
GO:1902036	1
GO:1904047	1
GO:1904158	1
GO:1904813	1
GO:1990092	1
GO:1990390	1
GO:1990578	1
GO:1990904	1
GO:2000001	1
GO:2000010	1
GO:2000274	1
GO:2000810	1
GO:2000850	1
GO:2001256	1
