Terminos_GO	Frecuencia	GO_name	GO_fullname
GO:0005737	30	cytoplasm	GO:0005737_cytoplasm
GO:0005829	27	cytosol	GO:0005829_cytosol
GO:0005634	26	nucleus	GO:0005634_nucleus
GO:0016021	18	NA	GO:0016021_NA
GO:0005739	17	mitochondrion	GO:0005739_mitochondrion
GO:0005524	15	ATP binding	GO:0005524_ATP binding
GO:0046872	14	metal ion binding	GO:0046872_metal ion binding
GO:0005509	12	calcium ion binding	GO:0005509_calcium ion binding
GO:0005886	12	plasma membrane	GO:0005886_plasma membrane
GO:0005789	9	endoplasmic reticulum membrane	GO:0005789_endoplasmic reticulum membrane
GO:0005654	8	nucleoplasm	GO:0005654_nucleoplasm
GO:0051301	8	cell division	GO:0051301_cell division
GO:0005506	7	iron ion binding	GO:0005506_iron ion binding
GO:0005783	7	endoplasmic reticulum	GO:0005783_endoplasmic reticulum
GO:0007049	7	cell cycle	GO:0007049_cell cycle
GO:0000122	6	negative regulation of transcription by RNA polymerase II	GO:0000122_negative regulation of transcription by RNA polymerase II
GO:0005576	6	extracellular region	GO:0005576_extracellular region
GO:0005887	6	NA	GO:0005887_NA
GO:0006656	6	phosphatidylcholine biosynthetic process	GO:0006656_phosphatidylcholine biosynthetic process
GO:0050660	6	flavin adenine dinucleotide binding	GO:0050660_flavin adenine dinucleotide binding
GO:0003700	5	DNA-binding transcription factor activity	GO:0003700_DNA-binding transcription factor activity
GO:0007275	5	multicellular organism development	GO:0007275_multicellular organism development
GO:0032991	5	protein-containing complex	GO:0032991_protein-containing complex
GO:0043231	5	intracellular membrane-bounded organelle	GO:0043231_intracellular membrane-bounded organelle
GO:0000234	4	phosphoethanolamine N-methyltransferase activity	GO:0000234_phosphoethanolamine N-methyltransferase activity
GO:0000287	4	magnesium ion binding	GO:0000287_magnesium ion binding
GO:0004842	4	ubiquitin-protein transferase activity	GO:0004842_ubiquitin-protein transferase activity
GO:0005615	4	extracellular space	GO:0005615_extracellular space
GO:0005764	4	lysosome	GO:0005764_lysosome
GO:0005794	4	Golgi apparatus	GO:0005794_Golgi apparatus
GO:0006541	4	glutamine metabolic process	GO:0006541_glutamine metabolic process
GO:0008270	4	zinc ion binding	GO:0008270_zinc ion binding
GO:0008289	4	lipid binding	GO:0008289_lipid binding
GO:0042493	4	NA	GO:0042493_NA
GO:0042752	4	regulation of circadian rhythm	GO:0042752_regulation of circadian rhythm
GO:0045892	4	negative regulation of DNA-templated transcription	GO:0045892_negative regulation of DNA-templated transcription
GO:0000981	3	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0000981_DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0003677	3	DNA binding	GO:0003677_DNA binding
GO:0003723	3	RNA binding	GO:0003723_RNA binding
GO:0004356	3	glutamine synthetase activity	GO:0004356_glutamine synthetase activity
GO:0004674	3	protein serine/threonine kinase activity	GO:0004674_protein serine/threonine kinase activity
GO:0005730	3	nucleolus	GO:0005730_nucleolus
GO:0005765	3	lysosomal membrane	GO:0005765_lysosomal membrane
GO:0006355	3	regulation of DNA-templated transcription	GO:0006355_regulation of DNA-templated transcription
GO:0006542	3	glutamine biosynthetic process	GO:0006542_glutamine biosynthetic process
GO:0008134	3	transcription factor binding	GO:0008134_transcription factor binding
GO:0008233	3	peptidase activity	GO:0008233_peptidase activity
GO:0008283	3	cell population proliferation	GO:0008283_cell population proliferation
GO:0009267	3	cellular response to starvation	GO:0009267_cellular response to starvation
GO:0010181	3	FMN binding	GO:0010181_FMN binding
GO:0016040	3	glutamate synthase (NADH) activity	GO:0016040_glutamate synthase (NADH) activity
GO:0016324	3	apical plasma membrane	GO:0016324_apical plasma membrane
GO:0016491	3	oxidoreductase activity	GO:0016491_oxidoreductase activity
GO:0016540	3	protein autoprocessing	GO:0016540_protein autoprocessing
GO:0016567	3	protein ubiquitination	GO:0016567_protein ubiquitination
GO:0030148	3	sphingolipid biosynthetic process	GO:0030148_sphingolipid biosynthetic process
GO:0031526	3	brush border membrane	GO:0031526_brush border membrane
GO:0042593	3	glucose homeostasis	GO:0042593_glucose homeostasis
GO:0042802	3	identical protein binding	GO:0042802_identical protein binding
GO:0042803	3	protein homodimerization activity	GO:0042803_protein homodimerization activity
GO:0043066	3	negative regulation of apoptotic process	GO:0043066_negative regulation of apoptotic process
GO:0043312	3	neutrophil degranulation	GO:0043312_neutrophil degranulation
GO:0044877	3	protein-containing complex binding	GO:0044877_protein-containing complex binding
GO:0045944	3	positive regulation of transcription by RNA polymerase II	GO:0045944_positive regulation of transcription by RNA polymerase II
GO:0051538	3	3 iron, 4 sulfur cluster binding	GO:0051538_3 iron, 4 sulfur cluster binding
GO:0070062	3	extracellular exosome	GO:0070062_extracellular exosome
GO:0071949	3	FAD binding	GO:0071949_FAD binding
GO:0097054	3	L-glutamate biosynthetic process	GO:0097054_L-glutamate biosynthetic process
GO:0000050	2	urea cycle	GO:0000050_urea cycle
GO:0000055	2	ribosomal large subunit export from nucleus	GO:0000055_ribosomal large subunit export from nucleus
GO:0000056	2	ribosomal small subunit export from nucleus	GO:0000056_ribosomal small subunit export from nucleus
GO:0000209	2	protein polyubiquitination	GO:0000209_protein polyubiquitination
GO:0000978	2	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0000978_RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0001228	2	DNA-binding transcription activator activity, RNA polymerase II-specific	GO:0001228_DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001525	2	angiogenesis	GO:0001525_angiogenesis
GO:0001666	2	response to hypoxia	GO:0001666_response to hypoxia
GO:0003323	2	type B pancreatic cell development	GO:0003323_type B pancreatic cell development
GO:0003735	2	structural constituent of ribosome	GO:0003735_structural constituent of ribosome
GO:0003878	2	ATP citrate synthase activity	GO:0003878_ATP citrate synthase activity
GO:0004087	2	carbamoyl-phosphate synthase (ammonia) activity	GO:0004087_carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	2	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	GO:0004088_carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004609	2	phosphatidylserine decarboxylase activity	GO:0004609_phosphatidylserine decarboxylase activity
GO:0005049	2	nuclear export signal receptor activity	GO:0005049_nuclear export signal receptor activity
GO:0005525	2	GTP binding	GO:0005525_GTP binding
GO:0005635	2	nuclear envelope	GO:0005635_nuclear envelope
GO:0005759	2	mitochondrial matrix	GO:0005759_mitochondrial matrix
GO:0005791	2	rough endoplasmic reticulum	GO:0005791_rough endoplasmic reticulum
GO:0006071	2	glycerol metabolic process	GO:0006071_glycerol metabolic process
GO:0006085	2	acetyl-CoA biosynthetic process	GO:0006085_acetyl-CoA biosynthetic process
GO:0006101	2	citrate metabolic process	GO:0006101_citrate metabolic process
