contig	Terminos_GO
1	Oarb_100054_c2_g1	GO:0005509;GO:0007049;GO:0051301
2	Oarb_100054_c2_g4	GO:0005509;GO:0007049;GO:0051301
3	Oarb_100054_c2_g6	GO:0005509;GO:0007049;GO:0051301
4	Oarb_105769_c2_g3	GO:0005634;GO:0003700;GO:0043565;GO:0003707;GO:0008270;GO:0070365;GO:0055088;GO:0050796;GO:0003323
5	Oarb_106459_c4_g1	GO:0005737;GO:0005743;GO:0042645;GO:0005739;GO:0005730;GO:0032991;GO:0004070;GO:0005524;GO:0005509;GO:0004087;GO:0004088;GO:0004151;GO:0004175;GO:0016595;GO:0072341;GO:0005543;GO:0044877;GO:0006207;GO:0055081;GO:0070409;GO:1903718;GO:0071320;GO:0044344;GO:0071377;GO:0071400;GO:0006541;GO:0070365;GO:0050667;GO:0001889;GO:0007494;GO:0046209;GO:0014075;GO:0043200;GO:0051591;GO:0071548;GO:0042493;GO:0032094;GO:0033762;GO:0051384;GO:0060416;GO:0032496;GO:0034201;GO:0042594;GO:0048545;GO:0009636;GO:0010043;GO:0019433;GO:0000050;GO:0042311
6	Oarb_107647_c2_g1	unknown
7	Oarb_113488_c2_g3	GO:0005765;GO:0004348;GO:0016787;GO:0006680
8	Oarb_113823_c0_g1	GO:0005737;GO:0016021;GO:0005887;GO:0030027;GO:0005886;GO:0015093;GO:0005384;GO:0005385;GO:0006882;GO:0006826;GO:0071578;GO:0071577;GO:0006829
9	Oarb_115991_c3_g1	GO:0005737;GO:0005829;GO:0008168;GO:0000234;GO:0042425;GO:0006656;GO:0009555;GO:0009860;GO:0010183;GO:0048528;GO:0009826
10	Oarb_116269_c0_g2	GO:0005739;GO:0005634;GO:0070888;GO:0042826;GO:0035257;GO:0000166;GO:0019902;GO:0009881;GO:0019901;GO:0032922;GO:0006975;GO:0043153;GO:0006094;GO:0042593;GO:0019915;GO:0042754;GO:0045744;GO:2000323;GO:2000850;GO:0045721;GO:0031397;GO:0000122;GO:0045892;GO:0018298;GO:0042752;GO:2000001;GO:0033762;GO:0032868
11	Oarb_117388_c4_g1	GO:0005764;GO:0008234;GO:0030154;GO:0007275
12	Oarb_118055_c1_g3	GO:0005737;GO:0005829;GO:0008168;GO:0000234;GO:0042425;GO:0006656;GO:0009555;GO:0009860;GO:0010183;GO:0048528;GO:0009826
13	Oarb_118113_c3_g1	GO:0009986;GO:0005576;GO:0098978;GO:0045121;GO:0072534;GO:0098685;GO:0008306;GO:0007411;GO:0007155;GO:0030198;GO:0035641;GO:0060291;GO:0048692;GO:0022408;GO:0050805;GO:0050885;GO:0007158;GO:0051968;GO:0051971;GO:0050808;GO:0022029
