contig	Terminos_GO
1	Oarb_100054_c2_g1	GO:0005509;GO:0007049;GO:0051301
2	Oarb_100054_c2_g4	GO:0005509;GO:0007049;GO:0051301
3	Oarb_100054_c2_g6	GO:0005509;GO:0007049;GO:0051301
4	Oarb_105769_c2_g3	GO:0005634;GO:0003700;GO:0043565;GO:0003707;GO:0008270;GO:0070365;GO:0055088;GO:0050796;GO:0003323
5	Oarb_107647_c2_g1	unknown
6	Oarb_117388_c4_g1	GO:0005764;GO:0008234;GO:0030154;GO:0007275
7	Oarb_118055_c1_g3	GO:0005737;GO:0005829;GO:0008168;GO:0000234;GO:0042425;GO:0006656;GO:0009555;GO:0009860;GO:0010183;GO:0048528;GO:0009826
8	Oarb_118270_c0_g2	GO:0005634;GO:0001046;GO:0001228;GO:0003700;GO:0000981;GO:0046872;GO:0000978;GO:0030282;GO:0008283;GO:0007267;GO:1901653;GO:0009267;GO:0007623;GO:0008285;GO:0000122;GO:0045892;GO:0045672;GO:0045944;GO:0042752;GO:0006357;GO:0001501;GO:0035019;GO:0007179
9	Oarb_118350_c0_g3	GO:0005762;GO:0005739;GO:0004045;GO:0016150;GO:0070126
10	Oarb_118607_c2_g1	GO:0005516
11	Oarb_126180_c1_g1	GO:0005829;GO:0005783;GO:0005739;GO:0005524;GO:0004356;GO:0046872;GO:0006542
12	Oarb_126196_c1_g1	GO:0005829;GO:0003847;GO:0004067;GO:0004622;GO:0008652;GO:0016042
13	Oarb_127090_c2_g1	GO:0005737;GO:0005829;GO:0005634;GO:0030332;GO:0061630;GO:0004842;GO:0002244;GO:0045087;GO:0016567;GO:0009617
14	Oarb_128959_c7_g1	GO:0005829;GO:0005925;GO:0016604;GO:0005654;GO:0005634;GO:0003700;GO:0000981;GO:0046872;GO:0044212;GO:0006915;GO:1901653;GO:0008285;GO:0000122;GO:0043065;GO:0006357;GO:0000083;GO:0006366
15	Oarb_130321_c0_g1	GO:0005737;GO:0047150;GO:0008270;GO:0006579;GO:0055123;GO:0009086;GO:0003323
16	Oarb_132772_c0_g1	GO:0043679;GO:0044297;GO:0042995;GO:0005737;GO:0005829;GO:0097386;GO:0043231;GO:0005739;GO:0043209;GO:0043005;GO:0043204;GO:0005886;GO:0032991;GO:0005791;GO:0005524;GO:0045503;GO:0016595;GO:0004356;GO:0042802;GO:0000287;GO:0030145;GO:0019706;GO:0019676;GO:0001525;GO:0008283;GO:0009267;GO:0006536;GO:0006542;GO:0050679;GO:0032024;GO:0051968;GO:0051260;GO:0018345;GO:0010594;GO:1903670;GO:0009749
17	Oarb_132920_c1_g1	GO:0005759;GO:0005739;GO:0047617;GO:0052689;GO:0102991;GO:0016290;GO:0006637;GO:0006631;GO:0042493;GO:0070849;GO:0009725;GO:0001666;GO:0031667;GO:0042760
18	Oarb_138021_c2_g1	GO:0005737;GO:0047150;GO:0008270;GO:0006579;GO:0009086
